Frame #,Fast,Slow,Immotile
930,0,10,25
931,0,10,25
932,0,10,25
933,0,10,25
934,0,8,26
935,0,8,26
936,0,9,25
937,0,11,23
938,0,12,22
939,0,11,23
940,0,10,24
941,0,10,24
942,0,11,31
943,0,12,30
944,0,13,28
945,0,13,27
946,0,11,29
947,0,9,31
948,0,10,30
949,0,11,28
950,0,10,29
951,0,12,27
952,0,10,29
953,0,11,28
954,0,9,29
955,0,11,26
956,0,11,26
957,0,13,24
958,0,13,23
959,0,12,24
960,0,14,21
961,0,11,24
962,0,7,27
963,0,8,26
964,0,10,22
965,0,8,24
966,0,9,22
967,0,9,21
968,0,9,21
969,0,12,18
970,0,14,15
971,0,13,16
972,0,12,26
973,0,11,27
974,0,12,25
975,0,9,27
976,0,13,23
977,0,11,25
978,0,9,27
979,0,10,26
980,0,10,26
981,0,11,25
982,0,10,26
983,0,11,25
984,0,10,26
985,0,9,27
986,0,9,27
987,0,7,29
988,0,8,26
989,0,7,27
990,0,10,22
991,0,9,30
992,0,11,28
993,0,11,27
994,0,10,28
995,0,10,28
996,0,10,28
997,0,8,29
998,0,9,28
999,0,8,29
1000,0,10,26
1001,0,9,27
1002,0,8,28
1003,0,11,25
1004,0,11,25
1005,0,8,28
1006,0,14,22
1007,0,12,20
1008,0,13,19
1009,0,11,21
1010,0,12,19
1011,0,11,26
1012,0,13,23
1013,0,12,24
1014,0,13,23
1015,0,11,25
1016,0,12,24
1017,0,14,20
1018,0,13,21
1019,0,13,21
1020,0,13,21
1021,0,14,20
1022,0,10,24
1023,0,15,19
1024,0,16,18
1025,0,14,19
1026,0,16,17
1027,0,14,17
1028,0,15,16
1029,0,16,15
1030,0,16,15
1031,0,12,19
1032,0,11,20
1033,0,13,17
1034,0,12,18
1035,0,13,17
1036,0,13,17
1037,0,15,15
1038,0,12,18
1039,0,10,19
1040,0,10,18
1041,0,11,17
1042,0,9,19
1043,0,10,17
1044,0,11,22
1045,0,14,19
1046,0,12,21
1047,0,12,21
1048,0,10,23
1049,0,11,22
1050,0,11,22
1051,0,12,21
1052,0,15,17
1053,0,11,21
1054,0,11,21
1055,0,15,16
1056,0,12,19
1057,0,13,18
1058,0,10,21
1059,0,10,21
1060,0,10,20
1061,0,7,23
1062,0,7,23
1063,0,6,24
1064,0,10,19
1065,0,11,18
1066,0,11,25
1067,0,11,25
1068,0,11,25
1069,0,11,25
1070,0,12,24
1071,0,13,23
1072,0,12,24
1073,0,13,23
1074,0,13,23
1075,0,11,24
1076,0,12,22
1077,0,14,18
1078,0,14,18
1079,0,14,18
1080,0,14,18
1081,0,14,18
1082,0,13,16
1083,0,11,18
1084,0,12,17
1085,0,11,25
1086,0,9,27
1087,0,9,27
1088,0,5,31
1089,0,7,29
1090,0,7,29
1091,0,8,28
1092,0,9,27
1093,0,8,28
1094,0,10,25
1095,0,9,26
1096,0,9,25
1097,0,8,26
1098,0,8,26
1099,0,7,27
1100,0,6,27
1101,0,5,28
1102,0,5,26
1103,0,6,22
1104,0,6,31
1105,0,8,29
1106,0,8,29
1107,0,7,30
1108,0,9,28
1109,0,12,25
1110,0,12,25
1111,0,9,28
1112,0,7,30
1113,0,9,28
1114,0,9,28
1115,0,12,25
1116,0,15,22
1117,0,15,22
1118,0,13,24
1119,0,9,28
1120,0,7,29
1121,0,10,25
1122,0,9,25
1123,0,10,33
1124,0,14,29
1125,0,11,31
1126,0,15,26
1127,0,14,27
1128,0,17,23
1129,0,17,23
1130,0,14,26
1131,0,10,29
1132,0,8,31
1133,0,10,29
1134,0,9,30
1135,0,10,29
1136,0,11,28
1137,0,12,27
1138,0,13,26
1139,0,12,26
1140,0,13,25
1141,0,13,25
1142,0,12,24
1143,0,10,26
1144,0,11,25
1145,0,10,26
1146,0,8,28
1147,0,11,23
1148,0,10,24
1149,0,10,23
1150,0,11,22
1151,0,11,22
1152,0,11,21
1153,0,10,22
1154,0,11,18
1155,0,12,23
1156,0,14,21
1157,0,10,25
1158,0,11,24
1159,0,11,24
1160,0,12,23
1161,0,12,23
1162,0,11,24
1163,0,11,30
1164,0,13,28
1165,0,14,27
1166,0,12,29
1167,0,14,27
1168,0,13,28
1169,0,18,23
1170,0,15,26
1171,0,13,28
1172,0,13,27
1173,0,15,25
1174,0,10,30
1175,0,11,29
1176,0,12,28
1177,0,12,28
1178,0,11,29
1179,0,13,27
1180,0,13,25
1181,0,11,27
1182,0,8,30
1183,0,10,28
1184,0,10,28
1185,0,12,26
1186,0,11,27
1187,0,10,27
1188,0,10,37
1189,0,11,35
1190,0,12,33
1191,0,14,29
1192,0,16,26
1193,0,15,27
1194,0,17,24
1195,0,16,25
1196,0,16,25
1197,0,15,26
1198,0,18,34
1199,0,14,38
1200,0,14,38
1201,0,13,39
1202,0,13,39
1203,0,13,39
1204,0,12,40
1205,0,13,38
1206,0,17,34
1207,0,17,34
1208,0,16,35
1209,0,15,36
1210,0,12,38
1211,0,11,39
1212,0,11,39
1213,0,11,38
1214,0,14,32
1215,0,14,30
1216,0,12,32
1217,0,15,29
1218,0,13,31
1219,0,11,33
1220,0,12,32
1221,0,12,32
1222,0,12,31
1223,0,15,28
1224,0,17,26
1225,0,15,28
1226,0,15,27
1227,0,15,27
1228,0,13,28
1229,0,13,27
1230,0,15,24
1231,0,12,26
1232,0,13,25
1233,0,13,25
1234,0,15,34
1235,1,20,28
1236,1,17,31
1237,0,16,33
1238,0,16,33
1239,0,16,33
1240,0,16,32
1241,0,17,30
1242,0,16,30
1243,0,15,31
1244,0,19,26
1245,0,13,32
1246,0,16,29
1247,0,17,28
1248,0,12,33
1249,0,15,30
1250,0,13,30
1251,0,13,29
1252,0,15,27
1253,0,11,31
1254,0,12,30
1255,0,12,29
1256,0,13,28
1257,0,17,24
1258,0,15,26
1259,0,15,26
1260,0,16,21
1261,0,14,32
1262,0,14,31
1263,0,14,31
1264,0,15,29
1265,0,13,31
1266,0,14,30
1267,0,16,28
1268,0,15,29
1269,0,15,29
1270,0,17,27
1271,0,14,29
1272,0,15,28
1273,0,13,30
1274,0,14,29
1275,0,15,28
1276,0,12,31
1277,0,13,27
1278,0,13,27
1279,0,12,28
1280,0,12,28
1281,0,12,28
1282,0,15,25
1283,0,14,25
1284,0,14,25
1285,0,15,24
1286,0,15,24
1287,0,14,25
1288,0,14,24
1289,0,15,22
1290,0,14,32
1291,0,14,32
1292,0,14,32
1293,0,11,35
1294,0,11,32
1295,0,13,30
1296,0,16,26
1297,0,15,27
1298,0,13,28
1299,0,14,27
1300,0,13,28
1301,0,14,27
1302,0,14,27
1303,0,13,38
1304,0,17,34
1305,0,16,35
1306,0,16,35
1307,0,17,33
1308,0,15,35
1309,0,16,34
1310,0,18,30
1311,0,17,31
1312,0,18,30
1313,0,20,28
1314,0,16,32
1315,0,16,32
1316,0,17,31
1317,0,14,34
1318,0,16,32
1319,0,17,30
1320,0,20,26
1321,0,17,29
1322,0,16,30
1323,0,18,28
1324,0,20,25
1325,0,19,26
1326,0,20,25
1327,0,20,25
1328,0,16,29
1329,0,15,30
1330,0,16,29
1331,0,15,30
1332,0,15,30
1333,0,15,30
1334,0,15,30
1335,0,16,28
1336,0,14,27
1337,0,16,25
1338,0,15,26
1339,0,12,29
1340,0,17,24
1341,0,18,23
1342,0,17,23
1343,0,17,23
1344,0,16,32
1345,0,16,32
1346,0,17,31
1347,0,15,33
1348,0,17,31
1349,0,17,31
1350,0,15,32
1351,0,17,30
1352,0,13,34
1353,0,16,31
1354,0,16,31
1355,0,14,32
1356,0,16,29
1357,0,17,28
1358,0,18,26
1359,0,16,28
1360,0,16,26
1361,0,18,24
1362,0,19,23
1363,0,19,23
1364,0,19,22
1365,0,16,25
1366,0,16,33
1367,0,20,29
1368,0,20,28
1369,0,18,30
1370,0,18,30
1371,0,17,31
1372,0,16,32
1373,0,16,32
1374,0,15,33
1375,0,16,32
1376,0,20,28
1377,0,19,29
1378,0,18,30
1379,0,16,32
1380,0,12,36
1381,0,13,35
1382,0,17,28
1383,0,17,28
1384,0,18,27
1385,0,22,23
1386,0,21,24
1387,0,19,26
1388,0,18,27
1389,0,19,25
1390,0,13,31
1391,0,13,30
1392,0,13,30
1393,0,16,27
1394,0,19,24
1395,0,20,22
1396,0,16,26
1397,0,12,30
1398,0,14,28
1399,0,13,29
1400,0,14,28
1401,0,16,26
1402,0,17,24
1403,0,14,27
1404,0,14,25
1405,0,14,24
1406,0,14,24
1407,0,14,23
1408,0,15,22
1409,0,15,21
1410,0,14,21
1411,0,13,21
1412,0,12,27
1413,0,16,23
1414,0,16,23
1415,0,14,25
1416,0,16,23
1417,0,12,27
1418,0,12,27
1419,0,13,26
1420,0,14,25
1421,0,14,32
1422,0,16,30
1423,0,15,31
1424,0,16,30
1425,0,10,36
1426,0,10,36
1427,0,11,35
1428,0,12,34
1429,0,10,36
1430,0,13,33
1431,0,14,32
1432,0,15,31
1433,0,15,31
1434,0,16,30
1435,0,18,27
1436,0,13,32
1437,0,15,29
1438,0,13,30
1439,0,14,28
1440,0,11,29
1441,0,10,30
1442,0,12,28
1443,0,9,30
1444,0,11,28
1445,0,13,33
1446,0,13,33
1447,0,17,29
1448,0,14,32
1449,0,14,32
1450,0,15,31
1451,0,18,28
1452,0,15,31
1453,0,15,31
1454,0,14,32
1455,0,15,30
1456,0,18,27
1457,0,18,26
1458,0,17,26
1459,0,15,28
1460,0,11,32
1461,0,15,26
1462,0,14,26
1463,0,14,26
1464,0,18,28
1465,0,16,29
1466,0,21,24
1467,0,19,26
1468,0,15,29
1469,0,16,28
1470,0,14,30
